,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
348,193,Dorri Abdel Kader Said,M,21.0,,,Egypt,EGY,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,
349,193,Dorri Abdel Kader Said,M,21.0,,,Egypt,EGY,1948 Summer,1948,Summer,London,Swimming,Swimming Men's 100 metres Backstroke,
351,193,Dorri Abdel Kader Said,M,25.0,,,Egypt,EGY,1952 Summer,1952,Summer,Helsinki,Swimming,Swimming Men's 100 metres Freestyle,
473,258,Hamza Abdo,M,17.0,,,Palestine,PLE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,
474,259,Reema Abdo,F,21.0,173.0,59.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,
475,259,Reema Abdo,F,21.0,173.0,59.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke,
476,259,Reema Abdo,F,21.0,173.0,59.0,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
504,280,Mohamed Abdul Hamid,M,19.0,175.0,55.0,Sudan,SUD,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 50 metres Freestyle,
517,290,Fatima Abdul Majeed Hameed Al-Kirashi,F,14.0,,,Bahrain,BRN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,
538,308,Mohamed Abdul Wahab Al-Salah,M,21.0,,,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 400 metres Freestyle,
539,308,Mohamed Abdul Wahab Al-Salah,M,21.0,,,Kuwait,KUW,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Butterfly,
551,317,Roosevelt M. Abdulgafur,M,24.0,181.0,73.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Freestyle,
552,317,Roosevelt M. Abdulgafur,M,24.0,181.0,73.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Freestyle,
553,317,Roosevelt M. Abdulgafur,M,24.0,181.0,73.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
554,317,Roosevelt M. Abdulgafur,M,24.0,181.0,73.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
555,317,Roosevelt M. Abdulgafur,M,24.0,181.0,73.0,Philippines,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
560,322,Ahmed Ghanim Abdullah,M,20.0,184.0,79.0,Egypt,EGY,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Butterfly,
564,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
565,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
566,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 100 metres Backstroke,
567,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,
568,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Individual Medley,
569,326,Mohamed Abdullah,M,,176.0,66.0,United Arab Emirates,UAE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
574,331,Wan Azlan Abdullah,M,21.0,188.0,77.0,Malaysia,MAS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Individual Medley,
575,331,Wan Azlan Abdullah,M,21.0,188.0,77.0,Malaysia,MAS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 400 metres Individual Medley,
576,331,Wan Azlan Abdullah,M,21.0,188.0,77.0,Malaysia,MAS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
577,331,Wan Azlan Abdullah,M,25.0,188.0,77.0,Malaysia,MAS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,
595,342,Abdullah Abdulrahman Zeyab,M,16.0,177.0,,Kuwait,KUW,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Freestyle,
729,417,Sara Helena berg,F,17.0,190.0,73.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,
740,424,Moira Abernethy (-Ford),F,17.0,,,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
741,424,Moira Abernethy (-Ford),F,17.0,,,South Africa,RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 100 metres Backstroke,
751,430,Matthew Duncan Abeysinghe,M,20.0,180.0,74.0,Sri Lanka,SRI,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,
802,460,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Freestyle,
803,460,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
804,460,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
805,460,Viktor Andreyevich Aboimov,M,22.0,190.0,78.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
813,465,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
814,465,"Matthew ""Matt"" Abood",M,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
888,509,Gary Abraham,M,17.0,175.0,64.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Backstroke,
889,509,Gary Abraham,M,17.0,175.0,64.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
890,509,Gary Abraham,M,21.0,175.0,64.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Backstroke,
891,509,Gary Abraham,M,21.0,175.0,64.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Butterfly,
892,509,Gary Abraham,M,21.0,175.0,64.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
969,546,Inna Vladimirovna Abramova,F,21.0,172.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,
970,546,Inna Vladimirovna Abramova,F,21.0,172.0,63.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
992,558,David Abrard,M,19.0,187.0,81.0,France,FRA,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,
1013,567,Emilio Julio Abreu,M,22.0,,,Paraguay,PAR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Breaststroke,
1014,567,Emilio Julio Abreu,M,22.0,,,Paraguay,PAR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Butterfly,
1015,567,Emilio Julio Abreu,M,22.0,,,Paraguay,PAR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 400 metres Individual Medley,
1020,572,Rui Pinto de Abreu,M,15.0,177.0,64.0,Portugal,POR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 400 metres Freestyle,
1021,572,Rui Pinto de Abreu,M,15.0,177.0,64.0,Portugal,POR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
1022,572,Rui Pinto de Abreu,M,19.0,177.0,64.0,Portugal,POR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Freestyle,
1023,572,Rui Pinto de Abreu,M,19.0,177.0,64.0,Portugal,POR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Freestyle,
1024,572,Rui Pinto de Abreu,M,19.0,177.0,64.0,Portugal,POR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Backstroke,
1032,578,Bourhan Abro,M,21.0,180.0,70.0,Djibouti,DJI,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
1066,598,Omar Abu-Fares,M,16.0,178.0,69.0,Jordan,JOR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,
1067,598,Omar Abu-Fares,M,19.0,178.0,69.0,Jordan,JOR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Backstroke,
1109,621,Anas Sameer N. H. Abuyousuf,M,14.0,181.0,77.0,Qatar,QAT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,
1168,650,Javier Carlos Acevedo,M,18.0,182.0,68.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,
1169,650,Javier Carlos Acevedo,M,18.0,182.0,68.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
1278,718,Luis Angel Acosta,M,20.0,180.0,73.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 100 metres Backstroke,
1279,718,Luis Angel Acosta,M,20.0,180.0,73.0,Mexico,MEX,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Backstroke,
1282,720,Marcelo Alberto Acosta Jimnez,M,20.0,,,El Salvador,ESA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,
1283,720,Marcelo Alberto Acosta Jimnez,M,20.0,,,El Salvador,ESA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 400 metres Freestyle,
1284,720,Marcelo Alberto Acosta Jimnez,M,20.0,,,El Salvador,ESA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,"Swimming Men's 1,500 metres Freestyle",
1301,733,Ilona cs (-Zimmermann),F,16.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Freestyle,
1302,733,Ilona cs (-Zimmermann),F,16.0,,,Hungary,HUN,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
1317,738,Crox Ernesto Acua Rodrguez,M,18.0,192.0,89.0,Venezuela,VEN,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Freestyle,
1318,738,Crox Ernesto Acua Rodrguez,M,22.0,192.0,89.0,Venezuela,VEN,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
1341,758,Adam,M,,,,France,FRA,1900 Summer,1900,Summer,Paris,Swimming,Swimming Men's 200 metres Freestyle,
1342,759,Ahmed Adam,M,20.0,162.0,60.0,Sudan,SUD,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 50 metres Freestyle,
1344,761,Gal Adam,M,22.0,190.0,80.0,Mauritius,MRI,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Freestyle,
1348,765,Jean-Paul Adam,M,15.0,,,Seychelles,SEY,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Freestyle,
1349,765,Jean-Paul Adam,M,15.0,,,Seychelles,SEY,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 400 metres Freestyle,
1350,765,Jean-Paul Adam,M,15.0,,,Seychelles,SEY,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Individual Medley,
1395,789,Petr Adamec,M,20.0,187.0,87.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Freestyle,
1396,789,Petr Adamec,M,20.0,187.0,87.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 400 metres Freestyle,
1397,789,Petr Adamec,M,20.0,187.0,87.0,Czechoslovakia,TCH,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
1410,793,Panagiotis Adamidis,M,18.0,,,Greece,GRE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Backstroke,
1411,793,Panagiotis Adamidis,M,18.0,,,Greece,GRE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Backstroke,
1421,799,Nafissatou Moussa Adamou,F,14.0,172.0,72.0,Niger,NIG,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,
1440,803,Anne Wilma Adams (-King),F,16.0,165.0,54.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 200 metres Butterfly,
1441,803,Anne Wilma Adams (-King),F,16.0,165.0,54.0,Great Britain,GBR,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 400 metres Individual Medley,
1455,811,Natalie Cammile Adams (-Brannan),F,20.0,173.0,65.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 200 metres Butterfly,
1456,811,Natalie Cammile Adams (-Brannan),F,24.0,173.0,65.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Butterfly,
1458,813,Edgar Holmes Adams,M,36.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 220 yard Freestyle,
1459,813,Edgar Holmes Adams,M,36.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 880 yard Freestyle,
1460,813,Edgar Holmes Adams,M,36.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's One Mile Freestyle,
1461,813,Edgar Holmes Adams,M,36.0,,,New York Athletic Club #2-4,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay,
1462,813,Edgar Holmes Adams,M,36.0,,,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver
1559,868,"Frances ""Fran"" Adcock",F,20.0,178.0,72.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,
1565,873,Mehdi Addadi,M,28.0,179.0,70.0,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,
1566,873,Mehdi Addadi,M,28.0,179.0,70.0,Algeria,ALG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,
1625,903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Freestyle,
1626,903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Freestyle,
1627,903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 200 metres Individual Medley,
1628,903,Carolyn Adel,F,17.0,163.0,52.0,Suriname,SUR,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 400 metres Individual Medley,
1629,903,Carolyn Adel,F,22.0,163.0,52.0,Suriname,SUR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,
1630,903,Carolyn Adel,F,22.0,163.0,52.0,Suriname,SUR,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,
1716,955,Jikirum Adjaluddin,M,21.0,,,Philippines,PHI,1932 Summer,1932,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,
1717,955,Jikirum Adjaluddin,M,25.0,,,Philippines,PHI,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 100 metres Freestyle,
1718,955,Jikirum Adjaluddin,M,25.0,,,Philippines,PHI,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
1719,955,Jikirum Adjaluddin,M,25.0,,,Philippines,PHI,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Men's 200 metres Breaststroke,
1725,960,Amanda Jo Adkins (-Schneider),F,23.0,173.0,61.0,United States,USA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 200 metres Backstroke,
1738,968,"Margarete ""Grete"" Adler",F,16.0,,,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,
1739,968,"Margarete ""Grete"" Adler",F,16.0,,,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1772,980,"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
1773,980,"Rebecca ""Becky"" Adlington",F,19.0,179.0,70.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
1774,980,"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
1775,980,"Rebecca ""Becky"" Adlington",F,23.0,179.0,70.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1780,984,Jane Admans,F,21.0,165.0,53.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Women's 200 metres Backstroke,
1827,1010,Jean-Luc Adorno,M,23.0,180.0,64.0,Monaco,MON,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,
1843,1017,Nathan Ghar-Jun Adrian,M,19.0,198.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1844,1017,Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
1845,1017,Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1846,1017,Nathan Ghar-Jun Adrian,M,23.0,198.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1847,1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1848,1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1849,1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1850,1017,Nathan Ghar-Jun Adrian,M,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1880,1032,Serhiy Mykolaiovych Advena,M,20.0,190.0,82.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
1881,1032,Serhiy Mykolaiovych Advena,M,20.0,190.0,82.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Butterfly,
1882,1032,Serhiy Mykolaiovych Advena,M,24.0,190.0,82.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Freestyle,
1883,1032,Serhiy Mykolaiovych Advena,M,24.0,190.0,82.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Butterfly,
1907,1052,Jasper Aerents,M,19.0,191.0,86.0,Belgium,BEL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,
1908,1052,Jasper Aerents,M,19.0,191.0,86.0,Belgium,BEL,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
1909,1052,Jasper Aerents,M,23.0,191.0,86.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
1910,1052,Jasper Aerents,M,23.0,191.0,86.0,Belgium,BEL,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
1966,1087,Evelina Afoa,F,17.0,162.0,60.0,Samoa,SAM,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,
2003,1108,Drago Agache,M,28.0,175.0,75.0,Romania,ROU,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Breaststroke,
2010,1110,Aleksandr Agafonov,M,21.0,190.0,86.0,Uzbekistan,UZB,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
2011,1110,Aleksandr Agafonov,M,25.0,190.0,86.0,Uzbekistan,UZB,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,
2012,1110,Aleksandr Agafonov,M,29.0,190.0,86.0,Uzbekistan,UZB,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle,
2014,1112,Alphonsine Agahozo,F,16.0,160.0,50.0,Rwanda,RWA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 50 metres Freestyle,
2026,1118,Francilla Agar (-Schofield),F,25.0,170.0,55.0,Dominica,DMA,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 50 metres Freestyle,
2078,1156,Norbert gh,M,18.0,194.0,78.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,
2079,1156,Norbert gh,M,18.0,194.0,78.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Swimming,"Swimming Men's 1,500 metres Freestyle",
2080,1157,Olivr gh,M,17.0,187.0,78.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 100 metres Backstroke,
2081,1157,Olivr gh,M,17.0,187.0,78.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 200 metres Backstroke,
2082,1157,Olivr gh,M,21.0,187.0,78.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Backstroke,
2096,1167,Neil Agius,M,18.0,168.0,65.0,Malta,MLT,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 400 metres Freestyle,
2109,1173,Yannick Agnel,M,20.0,202.0,90.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,
2110,1173,Yannick Agnel,M,20.0,202.0,90.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,Gold
2111,1173,Yannick Agnel,M,20.0,202.0,90.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
2112,1173,Yannick Agnel,M,20.0,202.0,90.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
2113,1173,Yannick Agnel,M,20.0,202.0,90.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
2114,1173,Yannick Agnel,M,24.0,202.0,90.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Freestyle,
